Time,Timestamp,X,Y,Z,Magnitude,Pressure,Label
39:31.2,311.9631042,-0.784545898,0.160522461,-0.072875977,0.804108597,955.7344831,sd
39:31.2,311.9815063,-0.784545898,0.160522461,-0.072875977,0.804108597,955.7344831,sd
39:31.2,311.999939,-0.784545898,0.160522461,-0.072875977,0.804108597,955.7344831,sd
39:31.2,312.0237427,-1.318237305,0.251586914,-0.149658203,1.350349268,955.7344831,sd
39:31.2,312.0424194,-1.318237305,0.251586914,-0.149658203,1.350349268,955.9750273,sd
39:31.3,312.0609741,-1.318237305,0.251586914,-0.149658203,1.350349268,955.9750273,sd
39:31.3,312.0794983,-1.318237305,0.251586914,-0.149658203,1.350349268,955.9750273,sd
39:31.3,312.103302,-1.556762695,0.276245117,-0.214599609,1.595579659,955.9750273,sd
39:31.3,312.1219177,-1.556762695,0.276245117,-0.214599609,1.595579659,956.0874429,sd
39:31.3,312.1405334,-1.556762695,0.276245117,-0.214599609,1.595579659,956.0874429,sd
39:31.4,312.1591797,-1.556762695,0.276245117,-0.214599609,1.595579659,956.0874429,sd
39:31.4,312.1812134,-1.314575195,0.275268555,-0.180297852,1.355133955,956.0874429,sd
39:31.4,312.1999207,-1.314575195,0.275268555,-0.180297852,1.355133955,956.0874429,sd
39:31.4,312.2186584,-1.314575195,0.275268555,-0.180297852,1.355133955,956.0874429,sd
39:31.4,312.2373962,-1.314575195,0.275268555,-0.180297852,1.355133955,956.0874429,sd
39:31.5,312.2615051,-0.9921875,0.31652832,-0.177856445,1.05653165,956.0874429,sd
39:31.5,312.2802124,-0.9921875,0.31652832,-0.177856445,1.05653165,955.8411838,sd
39:31.5,312.2989197,-0.9921875,0.31652832,-0.177856445,1.05653165,955.8411838,sd
39:31.5,312.3177185,-0.9921875,0.31652832,-0.177856445,1.05653165,955.8411838,sd
39:31.5,312.3417664,-0.85534668,0.360717773,-0.198608398,0.949305299,955.8411838,sd
39:31.6,312.3606567,-0.85534668,0.360717773,-0.198608398,0.949305299,955.8174647,sd
39:31.6,312.3795776,-0.85534668,0.360717773,-0.198608398,0.949305299,955.8174647,sd
39:31.6,312.3984985,-0.85534668,0.360717773,-0.198608398,0.949305299,955.8174647,sd
39:31.6,312.420929,-0.866577148,0.358398438,-0.253051758,0.971308698,955.8174647,sd
39:31.6,312.4401245,-0.866577148,0.358398438,-0.253051758,0.971308698,955.8174647,sd
39:31.7,312.4590759,-0.866577148,0.358398438,-0.253051758,0.971308698,955.8174647,sd
39:31.7,312.4781189,-0.866577148,0.358398438,-0.253051758,0.971308698,955.8174647,sd
39:31.7,312.5024414,-1.057373047,0.292724609,-0.285766602,1.133749535,955.8174647,sd
39:31.7,312.5215454,-1.057373047,0.292724609,-0.285766602,1.133749535,955.8482656,sd
39:31.7,312.5406189,-1.057373047,0.292724609,-0.285766602,1.133749535,955.8482656,sd
39:31.8,312.5596924,-1.057373047,0.292724609,-0.285766602,1.133749535,955.8482656,sd
39:31.8,312.584137,-1.371459961,0.321533203,-0.241699219,1.42923215,955.8482656,sd
39:31.8,312.6032715,-1.371459961,0.321533203,-0.241699219,1.42923215,955.7900499,sd
39:31.8,312.6224976,-1.371459961,0.321533203,-0.241699219,1.42923215,955.7900499,sd
39:31.8,312.6416626,-1.371459961,0.321533203,-0.241699219,1.42923215,955.7900499,sd
39:31.9,312.6643372,-1.437744141,0.334960938,-0.180419922,1.487231788,955.7900499,sd
39:31.9,312.6835632,-1.437744141,0.334960938,-0.180419922,1.487231788,955.7900499,sd
39:31.9,312.7027893,-1.437744141,0.334960938,-0.180419922,1.487231788,955.7900499,sd
39:31.9,312.7220764,-1.437744141,0.334960938,-0.180419922,1.487231788,955.7900499,sd
39:32.0,312.7466736,-1.398681641,0.362060547,-0.142456055,1.451789206,955.7900499,sd
39:32.0,312.7660522,-1.398681641,0.362060547,-0.142456055,1.451789206,955.8327587,sd
39:32.0,312.7853699,-1.398681641,0.362060547,-0.142456055,1.451789206,955.8327587,sd
39:32.0,312.8049011,-1.398681641,0.362060547,-0.142456055,1.451789206,955.8327587,sd
39:32.0,312.8278198,-1.295043945,0.501831055,-0.112304688,1.393407898,955.8327587,sd
39:32.1,312.84729,-1.295043945,0.501831055,-0.112304688,1.393407898,955.8327587,sd
